classGrade,stage,subject,subjectCode,topic,description,learningObjectives,month,bloomLevels
III,PREPARATORY,Mathematics,MATH,Knowing Our Numbers,"Understanding number concepts and place value","Students recognize numbers up to 999; Students understand place value (units, tens, hundreds); Students compare and order numbers",July-August,"REMEMBER,UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Addition and Subtraction,"Learning addition and subtraction operations","Students add numbers up to 999; Students subtract numbers up to 999; Students solve word problems involving addition/subtraction",August-September,"UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Multiplication,"Introduction to multiplication concepts","Students understand multiplication as repeated addition; Students learn multiplication facts (2, 5, 10 tables); Students solve simple multiplication problems",September-October,"UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Division,"Learning division concepts and facts","Students understand division as inverse of multiplication; Students divide using known multiplication facts; Students solve division word problems",October-November,"UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Fractions,"Introduction to fractions","Students identify halves and quarters; Students compare and order fractions; Students understand whole and parts",November-December,"REMEMBER,UNDERSTAND"
III,PREPARATORY,Mathematics,MATH,Measurement,"Understanding length, weight, and capacity","Students measure length using non-standard and standard units; Students understand mass and capacity concepts; Students compare objects",December-January,"APPLY,ANALYZE"
III,PREPARATORY,Mathematics,MATH,Geometry,"Learning basic geometric shapes","Students identify and name 2D shapes (circle, triangle, rectangle, square); Students identify 3D shapes (cube, sphere, cuboid); Students understand symmetry in shapes",January-February,"REMEMBER,UNDERSTAND,ANALYZE"
III,PREPARATORY,Mathematics,MATH,Data Handling,"Collecting and representing data","Students collect data through simple surveys; Students represent data using tally marks and pictographs; Students interpret simple graphs",February-March,"APPLY,ANALYZE"
III,PREPARATORY,English,ENG,Basic Reading,"Simple texts and stories","Students read simple sentences and short stories; Students understand basic vocabulary; Students identify key ideas in text",July-August,"REMEMBER,UNDERSTAND"
III,PREPARATORY,English,ENG,Writing Skills,"Composition basics","Students write simple sentences; Students compose short paragraphs; Students express ideas in writing",August-September,"APPLY"
III,PREPARATORY,English,ENG,Grammar Fundamentals,"Parts of speech","Students identify nouns, verbs, and adjectives; Students form simple sentences; Students understand basic punctuation",September-October,"UNDERSTAND,APPLY"
III,PREPARATORY,English,ENG,Vocabulary Development,"Word meanings","Students learn new vocabulary in context; Students understand synonyms and antonyms; Students use words in sentences",October-November,"UNDERSTAND,APPLY"
III,PREPARATORY,English,ENG,Poetry and Rhyme,"Poems and verses","Students recite and enjoy poetry; Students identify rhyming words; Students understand rhythm and patterns in poems",November-December,"UNDERSTAND,ANALYZE"
III,PREPARATORY,English,ENG,Speaking and Listening,"Oral communication","Students speak clearly in class; Students listen to stories and instructions; Students participate in conversations",December-January,"APPLY"
III,PREPARATORY,Science,SCI,Living Things,"Animals and plants","Students identify different animals and their habitats; Students learn about plant parts; Students understand living and non-living things",July-August,"REMEMBER,UNDERSTAND"
III,PREPARATORY,Science,SCI,Human Body Basics,"Body parts and functions","Students identify body parts; Students understand basic functions of body organs; Students learn about health and hygiene",August-September,"UNDERSTAND"
III,PREPARATORY,Science,SCI,Food and Nutrition,"Healthy eating","Students understand different types of food; Students learn about nutrition; Students understand balanced diet",September-October,"UNDERSTAND,APPLY"
III,PREPARATORY,Science,SCI,Water and Air,"Elements of environment","Students understand properties of water; Students learn about air and its importance; Students understand water cycle basics",October-November,"UNDERSTAND"
III,PREPARATORY,Science,SCI,Weather and Seasons,"Climate patterns","Students understand weather changes; Students learn about different seasons; Students observe weather patterns",November-December,"REMEMBER,UNDERSTAND"
III,PREPARATORY,Science,SCI,Light and Shadow,"Basics of light","Students understand light and shadow; Students observe light behavior; Students understand day and night",December-January,"UNDERSTAND"
III,PREPARATORY,Social Studies,SST,My Family and Community,"Family structures","Students understand family relationships; Students learn about different family types; Students understand community roles",July-August,"REMEMBER,UNDERSTAND"
III,PREPARATORY,Social Studies,SST,Our School and Neighborhood,"Local environment","Students understand school organization; Students learn about neighborhood; Students recognize local landmarks",August-September,"REMEMBER,UNDERSTAND"
III,PREPARATORY,Social Studies,SST,Occupations and Work,"Different jobs","Students learn about various occupations; Students understand how people work; Students appreciate different professions",September-October,"UNDERSTAND"
III,PREPARATORY,Social Studies,SST,Transportation and Communication,"Movement of people","Students learn about different modes of transport; Students understand communication methods; Students recognize transport safety",October-November,"UNDERSTAND,APPLY"
III,PREPARATORY,Social Studies,SST,Festivals and Culture,"Celebrations","Students learn about festivals; Students understand cultural traditions; Students celebrate diversity",November-December,"REMEMBER,UNDERSTAND"
III,PREPARATORY,Social Studies,SST,Maps and Directions,"Geography basics","Students understand maps; Students learn directions (North, South, East, West); Students recognize geographical features",December-January,"REMEMBER,UNDERSTAND"
IV,PREPARATORY,Mathematics,MATH,Knowing Our Numbers,"Understanding larger numbers and place value","Students recognize numbers up to 99,999; Students understand place value (units, tens, hundreds, thousands, ten thousands); Students use expanded form",July-August,"REMEMBER,UNDERSTAND,APPLY"
IV,PREPARATORY,Mathematics,MATH,Addition and Subtraction,"Multi-digit addition and subtraction","Students add multi-digit numbers with and without regrouping; Students subtract multi-digit numbers; Students solve multi-step word problems",August-September,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Multiplication,"Multiplication of larger numbers","Students multiply 2-digit numbers by single-digit numbers; Students understand properties of multiplication; Students solve real-world multiplication problems",September-October,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Division,"Division of multi-digit numbers","Students divide multi-digit numbers by single-digit divisors; Students understand quotient and remainder; Students apply division in word problems",October-November,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Fractions,"Fractions and operations","Students identify unit fractions and compare fractions; Students add and subtract like fractions; Students understand equivalent fractions",November-December,"UNDERSTAND,APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Decimals,"Introduction to decimal numbers","Students understand place value in decimals; Students compare decimal numbers; Students recognize money as decimal application",December-January,"REMEMBER,UNDERSTAND,APPLY"
IV,PREPARATORY,Mathematics,MATH,Measurement,"Measuring length, mass, and capacity","Students convert between units (meters and centimeters); Students estimate and measure using standard units; Students solve measurement word problems",January-February,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Geometry,"Geometric shapes and properties","Students classify 2D and 3D shapes; Students understand angles (right, acute, obtuse); Students recognize perpendicular and parallel lines",February-March,"UNDERSTAND,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Symmetry and Patterns,"Understanding symmetry and patterns","Students identify line of symmetry in shapes; Students create patterns; Students recognize rotational symmetry",March-April,"ANALYZE,CREATE"
IV,PREPARATORY,English,ENG,Reading Comprehension,"Stories and passages","Students read short stories; Students understand plot and characters; Students answer comprehension questions",July-August,"UNDERSTAND,ANALYZE"
IV,PREPARATORY,English,ENG,Writing and Composition,"Paragraph writing","Students write coherent paragraphs; Students compose short stories; Students write descriptive passages",August-September,"APPLY,CREATE"
IV,PREPARATORY,English,ENG,Grammar Structures,"Complex sentences","Students use complex sentence structures; Students understand tenses; Students use correct punctuation",September-October,"APPLY,ANALYZE"
IV,PREPARATORY,English,ENG,Vocabulary and Spelling,"Word skills","Students learn new vocabulary; Students spell words correctly; Students understand word families",October-November,"UNDERSTAND,APPLY"
IV,PREPARATORY,English,ENG,Literature and Poetry,"Literary appreciation","Students read poetry and stories; Students identify literary devices; Students understand themes",November-December,"ANALYZE"
IV,PREPARATORY,English,ENG,Oral Communication,"Speaking skills","Students speak fluently; Students participate in discussions; Students give presentations",December-January,"APPLY"
IV,PREPARATORY,Science,SCI,Living Organisms,"Animals and plants classification","Students classify animals and plants; Students understand habitats and adaptation; Students learn food chains",July-August,"UNDERSTAND,APPLY"
