classGrade,stage,subject,subjectCode,topic,description,learningObjectives,month,bloomLevels
III,PREPARATORY,Mathematics,MATH,Knowing Our Numbers,"Understanding number concepts and place value","Students recognize numbers up to 999; Students understand place value (units, tens, hundreds); Students compare and order numbers",July-August,"REMEMBER,UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Addition and Subtraction,"Learning addition and subtraction operations","Students add numbers up to 999; Students subtract numbers up to 999; Students solve word problems involving addition/subtraction",August-September,"UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Multiplication,"Introduction to multiplication concepts","Students understand multiplication as repeated addition; Students learn multiplication facts (2, 5, 10 tables); Students solve simple multiplication problems",September-October,"UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Division,"Learning division concepts and facts","Students understand division as inverse of multiplication; Students divide using known multiplication facts; Students solve division word problems",October-November,"UNDERSTAND,APPLY"
III,PREPARATORY,Mathematics,MATH,Fractions,"Introduction to fractions","Students identify halves and quarters; Students compare and order fractions; Students understand whole and parts",November-December,"REMEMBER,UNDERSTAND"
III,PREPARATORY,Mathematics,MATH,Measurement,"Understanding length, weight, and capacity","Students measure length using non-standard and standard units; Students understand mass and capacity concepts; Students compare objects",December-January,"APPLY,ANALYZE"
III,PREPARATORY,Mathematics,MATH,Geometry,"Learning basic geometric shapes","Students identify and name 2D shapes (circle, triangle, rectangle, square); Students identify 3D shapes (cube, sphere, cuboid); Students understand symmetry in shapes",January-February,"REMEMBER,UNDERSTAND,ANALYZE"
III,PREPARATORY,Mathematics,MATH,Data Handling,"Collecting and representing data","Students collect data through simple surveys; Students represent data using tally marks and pictographs; Students interpret simple graphs",February-March,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Knowing Our Numbers,"Understanding larger numbers and place value","Students recognize numbers up to 99,999; Students understand place value (units, tens, hundreds, thousands, ten thousands); Students use expanded form",July-August,"REMEMBER,UNDERSTAND,APPLY"
IV,PREPARATORY,Mathematics,MATH,Addition and Subtraction,"Multi-digit addition and subtraction","Students add multi-digit numbers with and without regrouping; Students subtract multi-digit numbers; Students solve multi-step word problems",August-September,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Multiplication,"Multiplication of larger numbers","Students multiply 2-digit numbers by single-digit numbers; Students understand properties of multiplication; Students solve real-world multiplication problems",September-October,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Division,"Division of multi-digit numbers","Students divide multi-digit numbers by single-digit divisors; Students understand quotient and remainder; Students apply division in word problems",October-November,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Fractions,"Fractions and operations","Students identify unit fractions and compare fractions; Students add and subtract like fractions; Students understand equivalent fractions",November-December,"UNDERSTAND,APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Decimals,"Introduction to decimal numbers","Students understand place value in decimals; Students compare decimal numbers; Students recognize money as decimal application",December-January,"REMEMBER,UNDERSTAND,APPLY"
IV,PREPARATORY,Mathematics,MATH,Measurement,"Measuring length, mass, and capacity","Students convert between units (meters and centimeters); Students estimate and measure using standard units; Students solve measurement word problems",January-February,"APPLY,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Geometry,"Geometric shapes and properties","Students classify 2D and 3D shapes; Students understand angles (right, acute, obtuse); Students recognize perpendicular and parallel lines",February-March,"UNDERSTAND,ANALYZE"
IV,PREPARATORY,Mathematics,MATH,Symmetry and Patterns,"Understanding symmetry and patterns","Students identify line of symmetry in shapes; Students create patterns; Students recognize rotational symmetry",March-April,"ANALYZE,CREATE"
V,PREPARATORY,Mathematics,MATH,Knowing Our Numbers,"Place value and number operations","Students understand place value up to 1,00,000 (1 lakh); Students use Vedic mathematics tricks for rapid calculation; Students order and compare large numbers",July-August,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Whole Numbers,"Operations on whole numbers","Students add and subtract multi-digit whole numbers with carry-over and borrow; Students multiply multi-digit numbers; Students divide with remainder; Students understand properties of whole numbers (commutative, associative, distributive)",August-September,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Playing with Numbers,"Factors, multiples, and divisibility","Students identify factors and multiples of numbers; Students understand divisibility rules; Students recognize prime and composite numbers; Students find LCM and HCF",September-October,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Fractions,"Operations with fractions","Students add and subtract fractions with different denominators; Students multiply fractions; Students divide fractions; Students understand improper fractions and mixed numbers",October-November,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Decimals,"Decimal operations","Students add and subtract decimals; Students multiply decimals; Students divide decimals; Students convert between fractions and decimals",November-December,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Algebra,"Introduction to variables and expressions","Students use variables to represent unknowns; Students write simple algebraic expressions; Students solve simple equations; Students create and extend patterns",December-January,"APPLY,ANALYZE,CREATE"
V,PREPARATORY,Mathematics,MATH,Ratio and Proportion,"Understanding ratios","Students identify ratios in real situations; Students simplify ratios; Students understand proportion; Students apply ratios to solve problems",January-February,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Geometry,"Angles and shapes","Students understand angle concepts and measurement; Students classify triangles and quadrilaterals; Students identify properties of 2D shapes; Students understand perimeter",February-March,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Perimeter and Area,"Calculating measurements","Students calculate perimeter of rectangles and triangles; Students calculate area of rectangles; Students solve real-world problems involving perimeter and area",March-April,"APPLY,ANALYZE"
V,PREPARATORY,Mathematics,MATH,Data Handling,"Organizing and interpreting data","Students collect and organize data; Students create bar graphs, pictographs, and simple line graphs; Students find average, mode, and range; Students interpret graphs and draw conclusions",April-May,"APPLY,ANALYZE,EVALUATE"
VI,MIDDLE,Mathematics,MATH,Knowing Our Numbers,"Number system and place value","Students understand numbers up to lakhs; Students know Hindu-Arabic numeral system; Students compare, order, and round large numbers; Students understand BODMAS",July-August,"REMEMBER,UNDERSTAND,APPLY"
VI,MIDDLE,Mathematics,MATH,Whole Numbers,"Number line and properties","Students represent whole numbers on number line; Students understand whole number properties; Students perform operations and apply them to word problems",August-September,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Playing with Numbers,"Factors and multiples","Students find factors and multiples; Students understand divisibility tests; Students identify prime and composite numbers; Students find GCD and LCM",September-October,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Basic Geometrical Ideas,"Geometric fundamentals","Students understand points, lines, line segments, rays; Students identify angles and their classification; Students understand plane figures and their properties",October-November,"REMEMBER,UNDERSTAND"
VI,MIDDLE,Mathematics,MATH,Understanding Elementary Shapes,"Classifying shapes","Students classify polygons; Students identify and name triangles and quadrilaterals; Students understand circles and their properties; Students measure angles using protractor",November-December,"UNDERSTAND,APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Integers,"Positive and negative numbers","Students understand integers and their representation on number line; Students compare and order integers; Students add and subtract integers; Students multiply and divide integers",December-January,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Fractions,"Fraction concepts and operations","Students identify and represent fractions; Students compare and order fractions; Students add and subtract fractions; Students multiply fractions by whole numbers; Students understand mixed numbers",January-February,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Decimals,"Decimal numbers","Students understand decimal representation; Students compare and order decimals; Students add and subtract decimals; Students multiply and divide decimals; Students convert between decimals and fractions",February-March,"APPLY,ANALYZE"
VI,MIDDLE,Mathematics,MATH,Algebra,"Variables and equations","Students use variables; Students write algebraic expressions; Students solve simple linear equations; Students understand and create patterns",March-April,"APPLY,ANALYZE"
